number of people displaced,specific_group,From,To,"specific group, From, To",Source (Extracted from text),text,document title,primary_country,date_posted,format,url
6270000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),  Text provided  ,"Although returns increased over the last month, some 6.27 million people are still internally displaced, and over 5.3 became refugees in European countries.","Ukraine: Situation Report, 29 Jun 2022 [EN/RU/UK]",['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-29-jun-2022-enruuk
75000000,refugees,not specified,not specified,refugees, Unspecified source ,"More than 7.5 million refugee movements out of Ukraine have been recorded since 24 February, while nearly 2.5 million movements back into the country have been recorded since 28 February.",Ukraine Situation Flash Update #17 (17 June 2022),['Ukraine'],2022-06-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-17-17-june-2022
25000000,refugees,not specified,not specified,refugees, Unspecified source ,"More than 7.5 million refugee movements out of Ukraine have been recorded since 24 February, while nearly 2.5 million movements back into the country have been recorded since 28 February.",Ukraine Situation Flash Update #17 (17 June 2022),['Ukraine'],2022-06-17,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-17-17-june-2022
100000000,total population,not specified,not specified,total population, N/A ,The total forced displacement now exceeds 100 million people globally.,"Ukraine Emergency: UNHCR Operational Response, Delivery Updates (21 June 2022) [EN/UK]",['Ukraine'],2022-06-23,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-21-june-2022-enuk
63000000,displaced people,not specified,not specified,displaced people,,"• Nearly 6.3 million people remain displaced by conflict in Ukraine as of June 23, a more than 10 percent decrease from the 7.1 million IDPs recorded in the country in late May.","Ukraine - Complex Emergency Fact Sheet #22, Fiscal Year (FY) 2022",['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-22-fiscal-year-fy-2022
71000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps),Late May Report,"• Nearly 6.3 million people remain displaced by conflict in Ukraine as of June 23, a more than 10 percent decrease from the 7.1 million IDPs recorded in the country in late May.","Ukraine - Complex Emergency Fact Sheet #22, Fiscal Year (FY) 2022",['Ukraine'],2022-07-01,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-22-fiscal-year-fy-2022
13686000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM   ,"Overall, IOM estimates that a total of 13,686,000 persons have been displaced within Ukraine and or crossed the border to neighbouring countries.","IOM Regional Ukraine Response - Situation Report #19, 19 May 2022",['Ukraine'],2022-05-20,['Situation Report'],https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-19-19-may-2022
72000000,refugees,not specified,not specified,refugees, N/A                   ,"More than 7.2 million refugee movements have been recorded out of Ukraine, while at the same time, authorities have reported more than 2.3 million movements back into the country since 28 February.",Ukraine Situation Flash Update #16 (10 June 2022),['Ukraine'],2022-06-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-16-10-june-2022
23000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), N/A                   ,"More than 7.2 million refugee movements have been recorded out of Ukraine, while at the same time, authorities have reported more than 2.3 million movements back into the country since 28 February.",Ukraine Situation Flash Update #16 (10 June 2022),['Ukraine'],2022-06-10,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-16-10-june-2022
64000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, UNHCR – May 2022 ,"SITUATION AT A GLANCE 3,838 Civilian Deaths Resulting from the ConflictOHCHR – May 2022 6.4 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – May 2022 8 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 6.4 MILLION People Reached by Humanitarian Actors in UkraineUN – May 2022 The GoRF invasion results in nearly 8,200 casualties, including 3,838 deaths, as humanitarian conditions worsen in eastern and southern Ukraine.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2022",['Ukraine'],2022-05-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2022
8000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – May 2022 ,"SITUATION AT A GLANCE 3,838 Civilian Deaths Resulting from the ConflictOHCHR – May 2022 6.4 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – May 2022 8 MILLION People Internally Displaced Across UkraineIOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 6.4 MILLION People Reached by Humanitarian Actors in UkraineUN – May 2022 The GoRF invasion results in nearly 8,200 casualties, including 3,838 deaths, as humanitarian conditions worsen in eastern and southern Ukraine.","Ukraine - Complex Emergency Fact Sheet #16, Fiscal Year (FY) 2022",['Ukraine'],2022-05-20,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-16-fiscal-year-fy-2022
771000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM ,12.64 M AFFECTED PEOPLE 7.71 M IDPs $366.6 M REQUIREMENTS (US$) 3.36 M PEOPLE TARGETED Shelter/NFI Situation Overview Housing needs remain high among the internally displaced population according to IOM’s third round of a rapid representative assessment of the general population in Ukraine: • 12% reported the need for accommodation; • 4% of IDPs indicating that accommodation was their most pressing need; • 8% of all respondents indicated that their home (primary residence before the war) was damaged.,Shelter Cluster Ukraine Emergency Situation Report # 5,['Ukraine'],2022-05-24,['Situation Report'],https://reliefweb.int/report/ukraine/shelter-cluster-ukraine-emergency-situation-report-5
14000000,total population,not specified,not specified,total population, SITUATION UPDATE report ,"FAST FACTS Our Impact Our Footprint SITUATION UPDATE The Russian invasion of Ukraine that began on February 24 has led to Europe’s largest refugee crisis since World War II, with more than 14 million people forcibly displaced.","Ukraine Crisis - Situation Report #15 (May 23, 2022)",['Ukraine'],2022-05-24,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-situation-report-15-may-23-2022
61000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, UNHCR – May 2022 ,"SITUATION AT A GLANCE 3,573 Civilian Deaths Resulting from the ConflictOHCHR – May 2022 6.1 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – May 2022 8 MILLION People Internally Displaced Across UkraineIOM – April 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 • GoRF forces continue to attack schools and health facilities in Ukraine.","Ukraine - Complex Emergency Fact Sheet #15, Fiscal Year (FY) 2022",['Ukraine'],2022-05-13,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-15-fiscal-year-fy-2022
8000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), IOM – April 2022 ,"SITUATION AT A GLANCE 3,573 Civilian Deaths Resulting from the ConflictOHCHR – May 2022 6.1 MILLION Refugees Fleeing Ukraine to Neighboring CountriesUNHCR – May 2022 8 MILLION People Internally Displaced Across UkraineIOM – April 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in UkraineUN – April 2022 • GoRF forces continue to attack schools and health facilities in Ukraine.","Ukraine - Complex Emergency Fact Sheet #15, Fiscal Year (FY) 2022",['Ukraine'],2022-05-13,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-15-fiscal-year-fy-2022
65000000,refugees,not specified,not specified,refugees, Unspecified ,Situation Overview The number of refugees who have fled Ukraine has reached more than 6.5 million.,"Ukraine Crisis Response - Situation report #9, 21 May 2022",['Ukraine'],2022-05-30,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-crisis-response-situation-report-9-21-may-2022
72000000,total population,not specified,not specified,total population, UNHCR                 ,"In addition, according to UNHCR, some 7.2 million border crossings from Ukraine have been registered since 24 February, while 2.3 million border crossings back to Ukraine have been registered since 28 February.","Ukraine: Situation Report, 9 Jun 2022 [EN/RU/UK]",['Ukraine'],2022-06-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-9-jun-2022-enruuk
23000000,total population,not specified,not specified,total population, UNHCR                   ,"In addition, according to UNHCR, some 7.2 million border crossings from Ukraine have been registered since 24 February, while 2.3 million border crossings back to Ukraine have been registered since 28 February.","Ukraine: Situation Report, 9 Jun 2022 [EN/RU/UK]",['Ukraine'],2022-06-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-9-jun-2022-enruuk
48000000,refugees,not specified,not specified,refugees, The article ,The recorded figure of 4.8 million individual refugees from Ukraine is an estimate because potential further movements or returns could not be calculated.,"Ukraine: Situation Report, 9 Jun 2022 [EN/RU/UK]",['Ukraine'],2022-06-03,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-situation-report-9-jun-2022-enruuk
8000000,internally displaced people (idps),not specified,not specified,internally displaced people (idps), Report/Source not mentioned ,"Highlights • More than 8 million people are now internally displaced in Ukraine - 63 per cent are women, with 52 per cent of displaced households reporting at least one child between the ages of 5 and 17, and 22 per cent reporting a child under the age of 5.",UNICEF Ukraine Humanitarian Situation Report No. 12 for 03-10 May 2022,['Ukraine'],2022-05-14,['Situation Report'],https://reliefweb.int/report/ukraine/unicef-ukraine-humanitarian-situation-report-no-12-03-10-may-2022
67000000,refugees,not specified,neighbouring countries,refugees to neighbouring countries, UNHCR – May 2022 ,"SITUATION AT A GLANCE 4,031 Civilian Deaths Resulting from the Conflict OHCHR – May 2022 6.7 MILLION Refugees Fleeing Ukraine to Neighboring Countries UNHCR – May 2022 MILLION People Internally Displaced Across Ukraine IOM – May 2022 8.7 MILLION People Identified to Receive Humanitarian Assistance in Ukraine UN – April 2022 6.9 MILLION People Reached by Humanitarian Actors in Ukraine UN – May 2022 The GoRF invasion of Ukraine displaces nearly 15 million people, bringing the total number of individuals displaced globally to approximately 100 million people for the first time in recorded history.","Ukraine - Complex Emergency Fact Sheet #17, Fiscal Year (FY) 2022",['Ukraine'],2022-05-27,['Situation Report'],https://reliefweb.int/report/ukraine/ukraine-complex-emergency-fact-sheet-17-fiscal-year-fy-2022
