Number of Buildings Mentioned,What Happened,Type of Building,housing sector losses reported,text,primary_country,date_posted,format,url,NER_extracted_geolocation
       -        ,     Damaged    ,   Residence     ,            -          ,"“More than 60 people could be staying in one room,” Sharouf describes.",Syria,2023-03-16 11:16:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/returnees-syria-compound-challenging-disaster-response-effort-fca-supporting-survivors-syria-earthquake-warm-clothes-and-cash-distributions,
       -        ,      -         ,      -          ,            60         ,"“More than 60 people could be staying in one room,” Sharouf describes.",Syria,2023-03-16 11:16:08+00:00,News and Press Release,https://reliefweb.int/report/syrian-arab-republic/returnees-syria-compound-challenging-disaster-response-effort-fca-supporting-survivors-syria-earthquake-warm-clothes-and-cash-distributions,
 :---: , :---: , :---: , :---: ,"More than 50,000 men, women and children have been confirmed to have died, and 850,000 Turkish and Syrian children were displaced following the destruction of tens of thousands of homes and buildings on both sides of the border.",Syria,2023-03-15 18:24:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/dire-consequences-12-years-suffering-syria-overview-most-pressing-needs-shaping-humanitarian-response-syria-today-march-2023,
 Tens of thousands ," Destroyed, damaged "," Household, residence ", N/A ,"More than 50,000 men, women and children have been confirmed to have died, and 850,000 Turkish and Syrian children were displaced following the destruction of tens of thousands of homes and buildings on both sides of the border.",Syria,2023-03-15 18:24:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/dire-consequences-12-years-suffering-syria-overview-most-pressing-needs-shaping-humanitarian-response-syria-today-march-2023,
  ,  ,  ,  ,"More than 50,000 men, women and children have been confirmed to have died, and 850,000 Turkish and Syrian children were displaced following the destruction of tens of thousands of homes and buildings on both sides of the border.",Syria,2023-03-15 18:24:05+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/dire-consequences-12-years-suffering-syria-overview-most-pressing-needs-shaping-humanitarian-response-syria-today-march-2023,
---------------------,---------------------------------,------------------,-------------------------------,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
        562          ,          Damaged                ,      Household   ,                 N/A           ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
         9           ,         Damaged                 ,      Residence   ,                 N/A           ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
        N/A          ,       Destroyed                 ,      N/A         ,                 N/A           ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
        N/A          ,      Severe Damage              ,      N/A         ,                 N/A           ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
        N/A          ,     Partially Damaged           ,      N/A         ,                 N/A           ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
        N/A          ,"   Minor Damages, mainly cracks  ",      N/A         ,       Housing Sector          ,"Palestine refugees’ property damage statistics show that 562 Palestine refugee homes and 9 UNRWA facilities suffered varying degrees of damage from the earthquake: 13% were severely damaged, 40% partially damaged and 47% had minor damages, mainly cracks.",Syria,2023-03-16 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/unrwa-syria-earthquake-response-situation-report-20-16-march-2023,
 -------------- , ------------- , ----------------, ----------------------,"The earthquakes have affected at  least  96  communities  and  35  sub-districts  in  NWS;  more  than10,600  buildings  have  been  partially  or  completely  destroyed, leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-15 15:10:58+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-5-15-march-2023,
" 10,600         ", Completely destroyed/partially damaged , Household/Residence ," 55,000 displaced households ","The earthquakes have affected at  least  96  communities  and  35  sub-districts  in  NWS;  more  than10,600  buildings  have  been  partially  or  completely  destroyed, leaving an estimated 55,000 households as displaced, either within or between assessed communities.",Syria,2023-03-15 15:10:58+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/whole-syria-emergency-response-earthquake-update-5-15-march-2023,
---------------------,--------------,------------------,---------------------------------,"The earthquakes only added to the layers of suffering, damaging homes and critical infrastructures, including health facilities, and killing and injuring more than 13,000 people in the north-west alone.",Syria,2023-03-15 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-15-march-2023-enar,
        1            ,     Damaged  ,       House      ,                N/A              ,"The earthquakes only added to the layers of suffering, damaging homes and critical infrastructures, including health facilities, and killing and injuring more than 13,000 people in the north-west alone.",Syria,2023-03-15 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-15-march-2023-enar,
        1            ,     Destroyed,       Health     ,                N/A              ,"The earthquakes only added to the layers of suffering, damaging homes and critical infrastructures, including health facilities, and killing and injuring more than 13,000 people in the north-west alone.",Syria,2023-03-15 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-15-march-2023-enar,
        N/A          ,      N/A     ,        N/A       ,              Not reported      ,"The earthquakes only added to the layers of suffering, damaging homes and critical infrastructures, including health facilities, and killing and injuring more than 13,000 people in the north-west alone.",Syria,2023-03-15 00:00:00+00:00,Situation Report,https://reliefweb.int/report/syrian-arab-republic/north-west-syria-situation-report-15-march-2023-enar,
 --- , --- , --- , --- ,"It is reported that over 230,000 buildings1 were destroyed or badly damaged over quite a large region of Turkiye, and for that reason, it will take a long time for missing people to be accounted for.",Türkiye,2023-03-12 23:29:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-humanity-first-situation-update-06-12-march-2023,Türkiye
" 230,000 ", Destroyed/Badly Damaged , Household/Residence , Unknown ,"It is reported that over 230,000 buildings1 were destroyed or badly damaged over quite a large region of Turkiye, and for that reason, it will take a long time for missing people to be accounted for.",Türkiye,2023-03-12 23:29:42+00:00,Situation Report,https://reliefweb.int/report/turkiye/turkiye-humanity-first-situation-update-06-12-march-2023,Türkiye
